name,state,school,weight,classification,year,wins,losses,placement,final_record,seed,opponents_beaten
Kyle Capodanno,NJ,Monroe,106,OPEN,2026,2,2,9,2-2,10,Alexander Dyki|Alexander Viscido
Alex Spagnuolo,NJ,Hanover Park,106,OPEN,2026,3,2,9,3-2,18,Adam Froehlich|Kyle Capodanno|Ronnie Rodriguez
Evan Villecco,NJ,Kingsway,113,OPEN,2026,1,2,9,1-2,17,Chase Dubuque
Joseph Formosa,NJ,West Essex,113,OPEN,2026,2,2,9,2-2,24,Tanner Connelly|Luke Manieri
Ryan Blewett,NJ,Middletown North,113,OPEN,2026,2,2,9,2-2,5,Andrew Adell|Chase Millan
Owen Fol,NJ,North Hunterdon,113,OPEN,2026,2,2,9,2-2,14,Liam Kisby|Matthew Pagan
Anthony Riotto,NJ,Bergen Catholic,113,OPEN,2026,5,3,6,5-3,6,Phillip Griffin|Tanner Connelly|Tristan Rosemeyer|Owen Fol|Andrew Adell
Omar Carrillo-Solano,NJ,Wall,113,OPEN,2026,1,2,9,1-2,23,Frank Figel
Iyon Townsend,NJ,Paul VI,113,OPEN,2026,1,2,9,1-2,15,Nick Banos
Jacob Richardson,NJ,Watchung Hills,120,OPEN,2026,1,2,9,1-2,16,Jaeczar Evans
Michael Daly,NJ,Cranford,120,OPEN,2026,4,3,8,4-3,8,Joseph Vezzosi|Michael Echeverri|David Vazquez|Micah Loudermilk
Julian Zargo,NJ,St. John Vianney,120,OPEN,2026,3,2,9,3-2,12,Anthony Pettinelli|Muhammad Abuhadba|Chase Wright
Ryan McConaghy,NJ,West Deptford,120,OPEN,2026,1,2,9,1-2,3,Liam Suydam
Shane Maghan,NJ,Howell,120,OPEN,2026,2,2,9,2-2,22,Julian Arango|Anthony Pettinelli
Santino DiMatteo,NJ,CBA,120,OPEN,2026,3,2,9,3-2,7,Owen Boyle|Joseph Rowinski|Alec Murado
Joseph Rowinski,NJ,Hackettstown,120,OPEN,2026,2,2,9,2-2,15,David Vazquez|Jaeczar Evans
Dante DePaul,NJ,Delsea,126,OPEN,2026,1,2,9,1-2,17,Jason Marasco
Matthew Gould,NJ,St. John Vianney,126,OPEN,2026,2,2,9,2-2,8,Jarrett Rodriguez|Chace Severs
Aidan Flynn,NJ,Lacey,126,OPEN,2026,1,2,9,1-2,21,Augie Szamreta
Christian Ramirez,NJ,St. Peter's Prep,126,OPEN,2026,5,1,4,5-1,4,Christian Hoopes|Giovanni Gutierrez|Matthew Mulligan|Sean Elliott|Lazarus Joyce
Christian Hoopes,NJ,Washington Township,126,OPEN,2026,2,2,9,2-2,13,Michael Lamb|Joseph Viola
Andrew Bonita,NJ,Don Bosco,126,OPEN,2026,2,2,9,2-2,22,Terrance Fearon|Augie Szamreta
Nico DeRado,NJ,St. Joseph Metuchen,126,OPEN,2026,1,2,9,1-2,10,Chace Severs
Lazarus Joyce,NJ,Camden Catholic,126,OPEN,2026,3,2,9,3-2,15,Chase Sudano|Jarrett Rodriguez|Jason Marasco
Lucas Reeves,NJ,Bergen Catholic,132,OPEN,2026,3,2,9,3-2,16,Dmytro Bohdan|Jayden Jardine|Adan Cedeno
Jack Lorper,NJ,Hawthorne,132,OPEN,2026,1,2,9,1-2,9,Julian Bednar
Colton Hagerty,NJ,Washington Township,132,OPEN,2026,6,2,5,6-2,5,River Hibler|Peter Terranova|Salvatore Borrometi|Nick DiFrancescantonio|Teag Saito|Aidan Yarussi
Teag Saito,NJ,CBA,132,OPEN,2026,2,2,9,2-2,13,Dylan Hersh|Jeremy Negron
Eli Glover,NJ,Lower Cape May,132,OPEN,2026,2,2,9,2-2,22,Aidan Yarussi|Derek Sutphen
Joseph Rizzuto,NJ,DePaul,132,OPEN,2026,2,2,9,2-2,10,Owen Brackett|Davey Rhinehart
Steven Ham,NJ,Lawrence,132,OPEN,2026,1,2,9,1-2,15,Adan Cedeno
Nicholas Pallitto,NJ,Paramus Catholic,138,OPEN,2026,5,2,4,5-2,16,Landan Riddell|Amari Vann|Isaias Hernandez|Tucker Pazinko|Jordan Segal
Joaquin Duque,NJ,Rumson-Fair Haven,138,OPEN,2026,2,1,9,2-1,9,Tucker Pazinko|Ryan Preziosi
