name,state,school,weight,classification,year,wins,losses,placement,final_record,seed,opponents_beaten
Davey Rhinehart,NJ,Warren Hills,132,OPEN,2026,1,2,9,1-2,25,Julian Bednar
River Hibler,NJ,Paramus Catholic,132,OPEN,2026,0,2,9,0-2,28,
Derek Sutphen,NJ,Immaculata,132,OPEN,2026,1,2,9,1-2,12,River Hibler
Dylan Hersh,NJ,Hopewell Valley,132,OPEN,2026,1,2,9,1-2,20,Wyatt Tolson
Malik Abuharthieh,NJ,Passaic Tech,132,OPEN,2026,0,2,9,0-2,29,
Wyatt Tolson,NJ,Ocean City,132,OPEN,2026,0,2,9,0-2,29,
Andre Morero,NJ,Seton Hall Prep,132,OPEN,2026,3,1,9,3-1,14,Jeremy Negron|Eli Glover|Dylan Hersh
Jeremy Negron,NJ,Edison,132,OPEN,2026,1,2,9,1-2,19,Malik Abuharthieh
Aidan Yarussi,NJ,North Hunterdon,132,OPEN,2026,1,2,9,1-2,11,Gage Grant
Gage Grant,NJ,Manalapan,132,OPEN,2026,0,2,9,0-2,27,
Jayden Jardine,NJ,Eastern,132,OPEN,2026,2,2,9,2-2,26,Jack Lorper|Owen Brackett
Owen Brackett,NJ,Raritan,132,OPEN,2026,0,2,9,0-2,23,
Adan Cedeno,NJ,Pascack Valley,132,OPEN,2026,1,2,9,1-2,18,Aidyn Herrera
Aidyn Herrera,NJ,Somerville,132,OPEN,2026,0,2,9,0-2,31,
Armani Maglione,NJ,JFK-Iselin,138,OPEN,2026,0,2,9,0-2,32,
Landan Riddell,NJ,Immaculata,138,OPEN,2026,3,1,9,3-1,17,Tyler Oden|Jack Abramson|Armani Maglione
Ryan Preziosi,NJ,Kingsway,138,OPEN,2026,1,2,9,1-2,24,Robbie Fritz
Robbie Fritz,NJ,Red Bank Catholic,138,OPEN,2026,0,2,9,0-2,25,
Nick Guastello,NJ,Paramus,138,OPEN,2026,1,2,9,1-2,28,Brody Neill
Brody Neill,NJ,West Morris,138,OPEN,2026,0,2,9,0-2,12,
Kieran Raley,NJ,North Hunterdon,138,OPEN,2026,2,1,9,2-1,20,Dylan Placca|Massimo Gonzalez
Dylan Placca,NJ,Holmdel,138,OPEN,2026,1,2,9,1-2,13,Ryan Mckenna
Ryan Mckenna,NJ,Dumont,138,OPEN,2026,0,2,9,0-2,29,
Isa Kupa,NJ,Boonton,138,OPEN,2026,0,2,9,0-2,30,
Massimo Gonzalez,NJ,Phillipsburg,138,OPEN,2026,1,2,9,1-2,19,Isa Kupa
Jacob Inserra,NJ,Pascack Valley,138,OPEN,2026,3,2,9,3-2,11,Kieran Raley|Nicolas Marchetti|Tye Falkenstein
Tye Falkenstein,NJ,Delaware Valley,138,OPEN,2026,0,2,9,0-2,27,
Anthony Caponegro,NJ,Monroe,138,OPEN,2026,0,2,9,0-2,7,
Dominic Marino,NJ,Cinnaminson,138,OPEN,2026,1,2,9,1-2,23,Anthony Caponegro
Jordan Segal,NJ,Shawnee,138,OPEN,2026,1,2,9,1-2,15,Jaden Sanders
Jaden Sanders,NJ,Manasquan,138,OPEN,2026,0,2,9,0-2,31,
Luken Ramos,NJ,Red Bank Catholic,144,OPEN,2026,0,2,9,0-2,32,
Anthony Barrett,NJ,Caldwell,144,OPEN,2026,2,2,9,2-2,17,Tyler Yildiz|Luken Ramos
Dylan Biegel,NJ,Pascack Valley,144,OPEN,2026,0,2,9,0-2,24,
Dominic Lally,NJ,Wayne Valley,144,OPEN,2026,1,2,9,1-2,25,Dylan Biegel
Michael Mirassol,NJ,Seneca,144,OPEN,2026,1,2,9,1-2,28,Michael Hasson
Michael Hasson,NJ,Delaware Valley,144,OPEN,2026,0,2,9,0-2,21,
Adrian Arbelo,NJ,St. Augustine,144,OPEN,2026,2,1,9,2-1,13,Fernando Avellan|Ariel Azeredo
Fernando Avellan,NJ,Edison,144,OPEN,2026,1,2,9,1-2,20,Logan Zimmer
Logan Zimmer,NJ,Moorestown,144,OPEN,2026,0,2,9,0-2,29,
Joseph Stanzione,NJ,South Plainfield,144,OPEN,2026,0,2,9,0-2,30,
Ariel Azeredo,NJ,Union,144,OPEN,2026,1,2,9,1-2,14,Joseph Stanzione
CJ Anzaldo,NJ,Ramapo,144,OPEN,2026,1,2,9,1-2,22,Thomas McDonald
Thomas McDonald,NJ,Mount Olive,144,OPEN,2026,0,2,9,0-2,27,
Jamal Kouzer,NJ,Wayne Hills,144,OPEN,2026,1,2,9,1-2,26,Brandon Mayock
Brandon Mayock,NJ,Indian Hills,144,OPEN,2026,0,2,9,0-2,23,
Jackson Fearon,NJ,Middletown North,144,OPEN,2026,2,2,9,2-2,18,Justin Marcello|Adrian Harris
Adrian Harris,NJ,Rahway,144,OPEN,2026,0,2,9,0-2,31,
Muhammed Tafida,NJ,Bergenfield,150,OPEN,2026,0,2,9,0-2,32,
Sebastian Dobak,NJ,Delaware Valley,150,OPEN,2026,1,2,9,1-2,17,Muhammed Tafida
Braeden Valley,NJ,New Providence,150,OPEN,2026,0,2,9,0-2,9,
Anthony Molinaro,NJ,Southern,150,OPEN,2026,1,2,9,1-2,25,Braeden Valley
William Clasen,NJ,Northern Highlands,150,OPEN,2026,0,2,9,0-2,28,
Owen Beneciuk,NJ,Toms River South,150,OPEN,2026,1,2,9,1-2,21,William Clasen
Daniel Gonzalez,NJ,Rahway,150,OPEN,2026,2,2,9,2-2,20,Nicholas Wall|Joshua Ortiz
Joshua Ortiz,NJ,Madison,150,OPEN,2026,0,2,9,0-2,29,
Brady Tiernan,NJ,DePaul,150,OPEN,2026,0,2,9,0-2,30,
Jean Paul Bonnette,NJ,St. Augustine,150,OPEN,2026,2,2,9,2-2,19,Brady Little|Brady Tiernan
Parker Quinn,NJ,Wall,150,OPEN,2026,1,2,9,1-2,22,Damien Pierro
Damien Pierro,NJ,Don Bosco,150,OPEN,2026,0,2,9,0-2,27,
Michael Frank,NJ,Montville,150,OPEN,2026,1,2,9,1-2,23,Joseph Hartz
Ryan Glenn,NJ,Kingsway,150,OPEN,2026,0,2,9,0-2,18,
Bryan Dougherty,NJ,Hackettstown,150,OPEN,2026,1,2,9,1-2,31,Ryan Glenn
Youssef Elgarhi,NJ,Bayonne,157,OPEN,2026,0,2,9,0-2,32,
August Katz,NJ,Seton Hall Prep,157,OPEN,2026,2,2,9,2-2,16,Johnny Chirico|Youssef Elgarhi
Jenier Soto Pastrana,NJ,St. Benedict's,157,OPEN,2026,1,2,9,1-2,24,Daniel Byrne
Daniel Byrne,NJ,Lower Cape May,157,OPEN,2026,0,2,9,0-2,25,
Christian Ardiles,NJ,Central,157,OPEN,2026,0,2,9,0-2,28,
Owen Miller,NJ,Hillsborough,157,OPEN,2026,1,2,9,1-2,21,Christian Ardiles
Grant Thompson,NJ,Immaculata,157,OPEN,2026,2,2,9,2-2,20,Charlie Bacinsky|Jason Huss
Jason Huss,NJ,Red Bank Regional,157,OPEN,2026,0,2,9,0-2,29,
Reid Angermeier,NJ,Lenape,157,OPEN,2026,0,2,9,0-2,30,
Matthew Miranda,NJ,Kingsway,157,OPEN,2026,1,2,9,1-2,14,Reid Angermeier
Levi Schulmann,NJ,Northern Highlands,157,OPEN,2026,1,2,9,1-2,22,Elijah Beatty
Elijah Beatty,NJ,Clearview,157,OPEN,2026,0,2,9,0-2,27,
Finley Pazinko,NJ,Jackson Township,157,OPEN,2026,1,2,9,1-2,26,Jeremy Marsella
Jeremy Marsella,NJ,Wall,157,OPEN,2026,0,2,9,0-2,23,
Joseph Aiello,NJ,Paramus,157,OPEN,2026,1,2,9,1-2,18,John Garcia
John Garcia,NJ,West Morris,157,OPEN,2026,0,2,9,0-2,31,
Nicco Capaldo,NJ,Caldwell,165,OPEN,2026,0,2,9,0-2,32,
Vincent Esposito,NJ,Southern,165,OPEN,2026,1,2,9,1-2,16,Nicco Capaldo
Ryder Vorndran,NJ,Brearley/Dayton,165,OPEN,2026,1,2,9,1-2,24,Dean Natale
Dean Natale,NJ,Colts Neck,165,OPEN,2026,0,2,9,0-2,25,
Robert Attenborough,NJ,Middle Township,165,OPEN,2026,1,1,33,1-1,28,Nico Cordova
Nico Cordova,NJ,Middletown North,165,OPEN,2026,0,2,9,0-2,21,
Gino Gorga,NJ,Ramapo,165,OPEN,2026,0,2,9,0-2,20,
Evan Curnow,NJ,Morristown,165,OPEN,2026,1,2,9,1-2,29,Gino Gorga
Gage Dembowski,NJ,Montville,165,OPEN,2026,0,2,9,0-2,30,
Ryan Willi,NJ,Middletown South,165,OPEN,2026,1,2,9,1-2,14,Gage Dembowski
Lukas Katsigiannis,NJ,Pope John,165,OPEN,2026,2,2,9,2-2,11,Brandon Papa|Hutch Rhyne
Hutch Rhyne,NJ,Haddonfield,165,OPEN,2026,0,2,9,0-2,27,
Davi Guimaraes,NJ,Cinnaminson,165,OPEN,2026,0,2,9,0-2,26,
Clayton Tyson,NJ,Cherry Hill West,165,OPEN,2026,1,2,9,1-2,23,Davi Guimaraes
Antonio Maiden,NJ,Nutley,165,OPEN,2026,1,2,9,1-2,18,Cristian Rodriguez
Cristian Rodriguez,NJ,Red Bank Catholic,165,OPEN,2026,0,2,9,0-2,31,
Robert Fazzino,NJ,West Morris,175,OPEN,2026,0,2,9,0-2,32,
Kwabena Morgan,NJ,Bound Brook,175,OPEN,2026,1,2,9,1-2,17,Robert Fazzino
Nicholas Allen,NJ,Ocean Township,175,OPEN,2026,0,2,9,0-2,24,
Tyler Shane,NJ,Robbinsville,175,OPEN,2026,1,2,9,1-2,25,Nicholas Allen
Nolan Monaghan,NJ,Roxbury,175,OPEN,2026,1,2,9,1-2,28,Luke Shivas
Luke Shivas,NJ,Morris Knolls,175,OPEN,2026,0,2,9,0-2,21,
Vincent Palermo,NJ,Hammonton,175,OPEN,2026,2,2,9,2-2,13,Olivier Paul|Joey Acinapura
Joey Acinapura,NJ,Cranford,175,OPEN,2026,0,2,9,0-2,29,
Ryan Sklavounos,NJ,Westwood,175,OPEN,2026,0,2,9,0-2,30,
Michael Damerjian,NJ,Moorestown,175,OPEN,2026,3,2,9,3-2,19,John Saraiva|Michael Colon|Ryan Sklavounos
Gerald Miller,NJ,Barnegat,175,OPEN,2026,0,2,9,0-2,22,
Shane Morrell,NJ,Lower Cape May,175,OPEN,2026,1,2,9,1-2,27,Gerald Miller
Nicholas Daddona,NJ,Southern,175,OPEN,2026,0,2,9,0-2,26,
Zyeir Green,NJ,Timber Creek,175,OPEN,2026,1,2,9,1-2,23,Nicholas Daddona
Greyson Hyland,NJ,Woodstown,175,OPEN,2026,1,2,9,1-2,15,Izael Moya
Izael Moya,NJ,Kearny,175,OPEN,2026,0,2,9,0-2,31,
Temiloluwa Odumbo,NJ,Old Bridge,190,OPEN,2026,0,2,9,0-2,32,
Youssef Ibrahim,NJ,River Dell,190,OPEN,2026,1,2,9,1-2,17,Temiloluwa Odumbo
Cole Torres,NJ,Shore,190,OPEN,2026,1,2,9,1-2,24,Jarred O'Neill
Jarred O'Neill,NJ,CBA,190,OPEN,2026,0,2,9,0-2,25,
Nicholas Bertolotti,NJ,Union,190,OPEN,2026,0,2,9,0-2,28,
Artun Kirgezmis,NJ,Watchung Hills,190,OPEN,2026,1,1,33,1-1,21,Nicholas Bertolotti
Brody Taylor,NJ,St. Augustine,190,OPEN,2026,0,2,9,0-2,13,
Dominic Dorrman,NJ,Ridge,190,OPEN,2026,5,2,7,5-2,29,True DiGuiseppe|Carmen Marano|Adam Sepulvada|Greg Sawyer|Brody Taylor
Brian Garcia,NJ,Red Bank Catholic,190,OPEN,2026,2,2,9,2-2,30,Timmy O'Rourke|Deacon Frayne
Deacon Frayne,NJ,West Morris,190,OPEN,2026,0,2,9,0-2,19,
Finn Cavanaugh,NJ,Pingry,190,OPEN,2026,0,2,9,0-2,22,
Ashton Wall,NJ,Gloucester,190,OPEN,2026,1,2,9,1-2,27,Finn Cavanaugh
Jake Mott,NJ,Lacey Township,190,OPEN,2026,0,2,9,0-2,26,
David Borodziuk,NJ,Audubon,190,OPEN,2026,1,2,9,1-2,23,Jake Mott
Andrew Zeidman,NJ,Randolph,190,OPEN,2026,1,2,9,1-2,18,Parker Needham
Parker Needham,NJ,Raritan,190,OPEN,2026,0,2,9,0-2,31,
Madden Rosario,NJ,Camden Catholic,215,OPEN,2026,1,2,9,1-2,32,Joey Alvarez
Zachary Florio,NJ,Old Bridge,215,OPEN,2026,0,2,9,0-2,9,
Aaron Veytsman,NJ,Clearview,215,OPEN,2026,1,2,9,1-2,25,Zachary Florio
Michael Borgia,NJ,West Morris,215,OPEN,2026,0,2,9,0-2,28,
Ajibola Oshin,NJ,Matawan,215,OPEN,2026,1,2,9,1-2,21,Michael Borgia
Paul Boyle,NJ,Scotch Plains-Fanwood,215,OPEN,2026,0,2,9,0-2,20,
Everett Bell,NJ,Becton/Wood-Ridge,215,OPEN,2026,1,2,9,1-2,29,Paul Boyle
Charles Schriver,NJ,West Deptford,215,OPEN,2026,0,2,9,0-2,30,
Jacob Chapman,NJ,Ocean City,215,OPEN,2026,2,2,9,2-2,19,Brett Rankin|Charles Schriver
Daniel Montemurno,NJ,Metuchen,215,OPEN,2026,0,2,9,0-2,22,
Nick Mignone,NJ,Pope John,215,OPEN,2026,1,2,9,1-2,27,Daniel Montemurno
Tuguldur Bayarkhuu,NJ,St. Benedict's,215,OPEN,2026,1,2,9,1-2,26,Owen Dandeo
Owen Dandeo,NJ,North Hunterdon,215,OPEN,2026,0,2,9,0-2,23,
Ivan Yultukhovskyi,NJ,Notre Dame,215,OPEN,2026,1,2,9,1-2,18,Cristian Garcia
Cristian Garcia,NJ,Elizabeth,215,OPEN,2026,0,2,9,0-2,31,
Ahmad Fears,NJ,Gateway/Woodbury,285,OPEN,2026,0,2,9,0-2,32,
Ben Ellis,NJ,Phillipsburg,285,OPEN,2026,1,2,9,1-2,17,Ahmad Fears
Gabe Jang,NJ,Leonia/Pal Park,285,OPEN,2026,5,0,7,5-0,9,Zane Spencer|Mohammad Targali|Raymir Brighton|Ralphie Barca|Andrew Chitacapa
Zane Spencer,NJ,Lawrence,285,OPEN,2026,0,2,9,0-2,24,
Obreight Ingram,NJ,Union,285,OPEN,2026,1,2,9,1-2,25,Zane Spencer
Max Georges,NJ,DePaul,285,OPEN,2026,0,2,9,0-2,28,
Braden Shields,NJ,St. Augustine,285,OPEN,2026,1,2,9,1-2,21,Max Georges
Ronell Muns Grullon,NJ,Pennsauken,285,OPEN,2026,0,2,9,0-2,20,
Nolan Brewer,NJ,Nutley,285,OPEN,2026,2,2,9,2-2,29,Jarairya Jean|Ronell Muns Grullon
Kyheem Freeman,NJ,Burlington Township,285,OPEN,2026,0,2,9,0-2,30,
Dominic Canzano,NJ,Cherry Hill East,285,OPEN,2026,2,2,9,2-2,19,Kacper Trzeciak|Kyheem Freeman
Lars Stegner,NJ,Camden Catholic,285,OPEN,2026,0,2,9,0-2,22,
Gabriel Gomez,NJ,Bergenfield,285,OPEN,2026,1,2,9,1-2,27,Lars Stegner
Anthony DeSimone,NJ,North Hunterdon,285,OPEN,2026,0,2,9,0-2,26,
Andrew Chitacapa,NJ,Jackson Township,285,OPEN,2026,1,2,9,1-2,23,Anthony DeSimone
Slayton D'Amico,NJ,Cedar Creek,285,OPEN,2026,0,2,9,0-2,31,
Ralphie Barca,NJ,Bergen Catholic,285,OPEN,2026,2,1,9,2-1,15,Jayson Fouche|Slayton D'Amico
Joseph Hartz,NJ,Bordentown/Florence,150,OPEN,2026,0,1,9,0-1,26,
Joey Alvarez,NJ,St. Joseph Montvale,215,OPEN,2026,0,1,9,0-1,16,
